Participant_ID	PGS000706	PGS000957	PGS000958	PGS001320	PGS002777	PGS002778	PGS002994	PGS002995	PGS002996	PGS002997	PGS002998	PGS002999	PGS003000	PGS003001	PGS003002	PGS003003	PGS003004	PGS003005	PGS003006	PGS003007	PGS003008	PGS003009	PGS003010	PGS003011	PGS003012	PGS003013	PGS003014	PGS003015	PGS003016	PGS003017	PGS003018	PGS003019	PGS003020	PGS003021	PGS003022	PGS003023	PGS003024	PGS003025	PGS003026	PGS003027	PGS003028	PGS004191	PGS004193	PGS004194	PGS004195	PGS004455	PGS004456	PGS004525	PGS004526
hu040C0A	0.14656007487244896	-2.321726068728238	-1.7607259268423174	-1.0051077755025324	-0.9073429173345556	-1.0796927701723331	-0.15380530278853605	-1.1348680698369753	-1.242380865203539	2.311881814269499	-0.83936849097495	-0.8129566548180708	-1.9085896364751833	-1.8176868905761638	-0.029993587418835777	0.24245221518249138	0.5330808521053284	0.2273910583816385	0.2926684654025115	-1.5655229016238297	-0.11736763032683144	0.8320300907047848	-0.1813713758453627	0.7765132800954585	-1.2412340004508273	0.31965568805869754	-2.30905520124341	-1.9665479358075506	-2.0428104739503055	-1.2915286839768416	-2.1246349206190382	0.1749147988824055	0.847441460732083	0.847441460732083	-0.14706282539976887	-0.11538833555293283	-0.5749362898408886	0.832030090704785	0.832030090704785	-0.2437162541423942	0.2951460979397884	-0.7643890552275131	-1.673996640202994	-2.8214914284227453	-2.020948234911617	-0.8260264598889215	-1.0520008908489287	-1.0483838612304124	-0.9646324942852139
hu50B3F5	0.45973627780457027	0.5274544565980507	0.04542461600017469	0.2733826858197829	-0.6315397530030892	-0.31058729611669217	0.3734078533511572	1.042543177148658	1.0098135997527133	0.38724857131319396	0.4183173398691199	0.5418847767150823	1.1205551632642883	1.1344546285474584	0.11040163629161436	0.6346300401151463	1.2176087221815908	1.3824078731398515	1.0861572188046562	2.081781939555354	1.8478652644546696	0.8320300907047848	1.3946483247094366	1.9910144833519656	1.5157730024171032	0.654945844012852	1.4816623195196634	2.6543623177449307	2.3873042963003273	-1.5645092220780614	1.0654307500972513	1.8065789445693978	0.847441460732083	0.847441460732083	-0.14706282539976887	1.4353785136695985	0.2284607238884901	0.832030090704785	0.832030090704785	-0.2437162541423942	0.9361193113991628	-0.08659394941039335	0.21190147542509116	-0.3940551045671841	-0.0017388665896215846	0.8322767993951145	0.49645996635520157	0.3421634004392522	0.09456677946166546
hu52F345	0.5245968722662419	-0.16787036963296328	-0.6355200489652806	-0.36936673938994513	0.7629267107249118	0.6003552371821296	0.8365773364104234	0.7974930776049759	0.9928078427880064	0.9426839091134276	0.688906531485683	-0.9942367468100812	0.4631069663148002	0.46134880971139436	-0.07732271273441568	-0.8136772437872536	0.5107393860535634	-0.4186709503876603	0.2336380603267437	0.37839995903825474	1.2380445222701306	0.8320300907047848	-0.1538944598178594	0.00879602162656042	0.3846862104739744	1.5327619513659818	0.09107388137166082	0.126406912435293	0.187785084777499	-0.45681974293111144	1.4088157048782195	-0.43321149384609814	0.847441460732083	0.847441460732083	0.012089207151523063	1.5116003982645982	0.8055760609565122	0.832030090704785	0.832030090704785	-0.0011853696054484543	1.3176922111121128	-0.09413172702247767	-2.1152749056246596	-0.9090247736564712	0.449693397732483	2.3391456862742364	2.404220993431553	2.709831829142088	2.8791853454684917
hu60AB7C	0.059655831933220424	1.0501832051141347	0.4036719285954589	0.26732970729308575	0.3122211517099524	-0.5067006562722165	-0.11366213309532726	0.3588341778440324	0.38119011497831273	-0.46940729921046115	0.9403205518772169	-0.8508208658298374	-1.7526044336684143	-1.7678242965929276	0.4468791391565759	-0.6437293377014082	-0.6680699989125396	-2.1687676732423222	-1.3414914669098945	-1.105952080816902	-1.8439710208756301	-0.6974369877966579	0.17817031512815898	-1.7506128464720108	-1.049348327585772	-1.5237936138180477	1.0140201358885663	-0.4209886912714653	-0.30402712274893723	0.5075172730760993	1.0894032156575264	-0.9294486392383544	-0.5914613141192598	-0.5914613141192598	2.5537108008732754	-1.3601443139915133	-1.4941784646460303	-0.6974369877966579	-0.6974369877966579	2.9907904523861752	-1.472009840557086	1.5959046404562802	1.1773886086997225	0.8300361092614779	2.3168401339573075	0.9477572187455411	0.6540966727434234	0.4771121546915376	0.2936696071881622
hu64DBF7	-1.3922568296990785	-0.20408009918816225	0.1465494168048351	-0.9181119619431283	-0.9987003432538009	-0.1370667722336137	-0.2600622903911156	-0.13877277816202604	-0.24618183613634412	-0.8861115407523139	-1.6688898054263446	0.6653833282924615	0.4523207146747004	0.29541026420943345	-1.8675618164622532	-0.5128231145410148	-0.8159913933005977	0.5591459416435592	1.0422801235492063	0.36731173581443605	-0.25251212046658855	-0.6974369877966579	0.5018046726566486	1.2260812794763911	0.6774995817423819	-0.6773911919906525	-1.870378801362359	-0.8752716740689231	-0.853979374141906	0.2060561006310669	-1.60546160784907	0.4928896417109086	-0.5914613141192598	-0.5914613141192598	-0.14706282539976887	-0.0667639690168944	-0.6668507335478902	-0.6974369877966579	-0.6974369877966579	-0.2437162541423942	0.5107919950891066	-1.2331553724294804	-1.3446861290002805	0.5029752599263644	-1.569675673011417	-0.45871809414938663	-0.4412964769713096	-0.5209702364527092	-0.37390344045597995
hu72B82C	0.21170376499456076	-0.9580350707075543	-0.8951026324152662	0.13111711457848876	-0.34136953628575756	0.039281789899253114	0.12988993496242765	-0.9830697666210463	-1.0458779960348172	-0.344545946146549	-0.43251441455820366	1.3377795916349773	2.4563280143480735	2.3464833108528644	-0.227782830705581	0.818017263018059	0.7992065631334089	0.2402603265126492	-0.7803301871123378	0.45067306947246055	0.5236642258864158	0.8320300907047848	-0.27816505730588553	-0.25012105555244823	0.6638699395299243	0.8117862661225188	0.7128214047654192	0.9944216851916413	1.0189221690994792	1.0772110462084357	0.7775863199055558	-1.0011143627600272	0.847441460732083	0.847441460732083	0.012089207151523063	0.39483965217781114	-1.1586130096210177	0.832030090704785	0.832030090704785	-0.0011853696054484543	0.9879738541727688	-1.0566858699506219	1.0180112670313175	-0.6790407971934075	-0.9342306526235604	-0.9237669353155471	-1.0574711410599045	-0.6482174577711377	-0.8342340820419459
hu72C17A	-0.2615215433576168	0.41524984134424314	0.4004784263290544	0.031148610983613663	0.7763832212701754	1.1885603687741426	1.1556908798820196	1.0551082543699384	1.0518709857330377	1.096884035589901	0.2847912665232351	-0.9096091093566334	-0.13826480745060477	-0.1645487718717429	1.7424767310087887	0.16408135203289853	-1.1599517574381086	-1.7370284760394716	-0.7535616674604714	-0.5960349616303802	-1.8710173030963781	-0.6974369877966579	-2.276486222942481	0.7525647288488154	-0.17488782520676138	-1.096904424212009	-0.22795355510438545	-0.9074683337863051	-0.8292879416190646	-1.5174939737453832	-0.18097238834465254	-0.6710768740834967	-0.5914613141192598	-0.5914613141192598	-0.14706282539976887	-1.1267507701090655	-0.9705194478838156	-0.6974369877966579	-0.6974369877966579	-0.2437162541423942	-1.3825881164464533	-0.20205671839175782	0.8237075487824954	-0.23435412840389572	0.2192458319326025	-0.3606689271179083	-0.4093722883619843	-0.4005831456051039	-0.6799461796909213
hu77CC58	-0.11403623655900572	0.8798710469402653	0.8061477804884474	0.1779104473539514	0.5526286855313186	0.9565915649595833	0.2922214753085925	0.9772617114950477	0.8992647257362515	0.9615507168048949	-0.09725061424804295	1.179866147675576	1.7339421995445428	1.8035314088076557	-0.2293993345693504	0.2227283640741155	-0.28880352483576	0.5298188594603904	-1.0940106834849892	0.8011878023532417	1.3597048581349211	-0.6974369877966579	2.0971831095035522	-0.34531867741187955	-0.25191295288863585	1.0195665072790885	-1.2548801504487332	-1.3490813734959288	-1.2522440409454376	-0.029877851891336828	-1.1653721152360255	-1.1110627203768073	-0.5914613141192598	-0.5914613141192598	0.012089207151523063	1.3276737437501949	0.3916147150757836	-0.6974369877966579	-0.6974369877966579	-0.0011853696054484543	1.8382474823198618	0.045930060116426634	0.04174833287451546	-0.5909275867229391	-0.5518695472767463	0.44082099053260587	0.9315787184071742	-0.2683111308503501	0.09856036510515907
hu79AB64	0.12888877054762166	0.8226875159535169	1.7579644963158136	-0.6054036625274062	-0.07167202230633196	-0.253066839404436	0.05720845624443304	0.6605365389577016	0.8470860528968455	0.19073089795376663	0.4535970609484432	-0.7710374524660398	-0.16833521493417372	-0.13125422203213397	0.47890688423196753	0.24562305049485422	0.2912249585999969	2.375692635520844	0.7899577296133545	1.00253552854265	0.011908541744947763	-0.6974369877966579	2.1977236431496436	-0.08787885369055216	0.9356360829646141	-0.1302497081223083	0.31235131584328973	-0.6245866358696273	-0.5206552355983973	-1.0091626847967732	-0.1815045158855663	0.04436560082894338	1.766192928083892	1.766192928083892	-0.14706282539976887	0.2070249279192757	0.17210653443903837	-0.6974369877966579	-0.6974369877966579	-0.2437162541423942	-0.8164682227481102	-0.2280279706347603	0.10992489610424334	0.021586128051954052	0.6313407715179307	-0.9878148468390561	-0.992341337466349	-0.3336844032131634	-0.5036866809855427
hu87BAAD	0.36654229468406047	1.4038478542081467	0.29269554031866907	1.238144882665412	-0.447159315664152	-0.3718631145713081	-1.016104749002188	0.06943969356147661	0.022960216182979006	-1.1264834331907303	-0.1453528314755153	-0.6529744770306577	-1.446506415699029	-1.4846600404199743	-0.7587805039280431	-2.6738628774569104	-0.9119503257711291	1.0287504854626528	-0.25261791839280834	-0.23715093642815732	-1.2360751558725416	-0.6974369877966579	0.5926658381566874	-0.3866817742269592	-0.42440883452822076	-0.3000951885881946	0.3887680639215975	-0.051127738672075033	0.12486497654390658	0.07988629377962334	0.6928612268421273	-0.6319317843110941	-0.5914613141192598	-0.5914613141192598	-0.14706282539976887	-0.7631816333164326	-0.7794734643959103	-0.6974369877966579	-0.6974369877966579	-0.2437162541423942	-0.5976890762945124	-0.3396064381062732	-0.15121244237405096	-1.2207018993170766	0.28144147595934155	0.7753703673235341	0.6449116978413523	0.49417694445478255	0.4234058590930574
